12/5/19 3:50,"....”I would like to have the Attorney General (of the United States) call you or your people.....” This, based on… https://t.co/WRn9fT6iwG",,,,,,,,,,,,Date,Time,,
11/27/19 14:45,"GOD BLESS THE U.S.A.! #MAGA
https://t.co/CYkQGHAgcx",,,,,,,,,,,,11/27/19,15:54:39,,
11/27/19 3:18,https://t.co/Jd7IbQBUvu,,,,,,,,,,,,11/27/19,14:45:18,,
11/27/19 3:09,THANK YOU FLORIDA! #KAG2020 https://t.co/mNB4KMEj9u,,,,,,,,,,,,11/27/19,3:18:02,,
11/27/19 2:50,“OMB Official: Ukraine Aid Held Up Because Other Countries Weren't Giving” https://t.co/nYwMq3M5SB,,,,,,,,,,,,11/27/19,3:09:33,,
11/26/19 21:28,https://t.co/1EYKod0tee,,,,,,,,,,,,11/27/19,2:50:56,,
11/26/19 15:43,"...love to have Mike Pompeo, Rick Perry, Mick Mulvaney and many others testify about the phony Impeachment Hoax. It… https://t.co/PQorUuinkw",,,,,,,,,,,,11/26/19,21:28:17,,
11/26/19 15:43,...lawyer has already stated that I did nothing wrong. John Bolton is a patriot and may know that I held back the m… https://t.co/XCVTR2Od2l,,,,,,,,,,,,11/26/19,15:43:27,,
11/26/19 15:43,The D.C. Wolves and Fake News Media are reading far too much into people being forced by Courts to testify before C… https://t.co/8LsXGDsTbH,,,,,,,,,,,,11/26/19,15:43:26,,
11/26/19 11:53,"When the Military rips down an old &amp; badly broken Border Wall in an important location, &amp; replaces it with a brand… https://t.co/5UwBsVacdG",,,,,,,,,,,,11/26/19,15:43:19,,
11/26/19 11:33,I will always protect our great warfighters. I’ve got your backs!,,,,,,,,,,,,11/26/19,11:53:16,,
11/26/19 11:23,Great job Heather! https://t.co/8OX8wkug4t,,,,,,,,,,,,11/26/19,11:33:12,,
11/26/19 11:14,“Poll shows Dems losing interest in Impeachment inquiry all across the board. These Polls are actually devastating… https://t.co/K1b9B05IEY,,,,,,,,,,,,11/26/19,11:23:44,,
11/26/19 4:38,https://t.co/Rya9MUlX1v,,,,,,,,,,,,11/26/19,11:14:31,,
